section	id	protocol_id	account_state	login_state	risk_status	mute_status	restriction_reason_code	block_error_code	block_reason	pulling_restriction_until	cooldown_until	updated_at
ACCOUNT	159	WEB	2	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-12 23:05:52.9640
ACCOUNT	162	WEB	2	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-12 22:55:12.0620
ACCOUNT	169	WEB	2	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-12 23:01:15.6680
ACCOUNT	171	WEB	2	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-12 23:05:40.9130
ACCOUNT	178	WEB	2	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-12 23:04:40.8640
ACCOUNT	180	WEB	2	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-12 22:56:59.4060
ACCOUNT	187	WEB	2	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-12 23:04:46.1950
ACCOUNT	196	WEB	2	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-12 23:05:03.7960
ACCOUNT	199	WEB	2	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-12 22:55:43.6510
ACCOUNT	1456	WEB	2	1	NULL	2	RATE_LIMITED	NULL	NULL	2026-09-13 23:02:05.3160	2026-09-13 23:02:05.3160	2026-09-12 23:03:18.0020
ACCOUNT	1476	WEB	2	1	NULL	2	RATE_LIMITED	NULL	NULL	2026-09-13 22:43:44.2710	2026-09-13 22:43:44.2710	2026-09-12 22:55:15.9180
ACCOUNT	1504	WEB	2	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-12 22:56:06.7460
ACCOUNT	1513	WEB	2	3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-12 23:05:40.8840
ACCOUNT	1516	WEB	2	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-12 22:56:58.6640
ACCOUNT	1756	ANDROID	6	2	NULL	2	RATE_LIMITED	NULL	NULL	2026-09-13 22:49:44.8680	2026-09-13 22:49:44.8680	2026-09-12 22:58:03.4630
ACCOUNT	1757	ANDROID	2	1	NULL	2	RATE_LIMITED	NULL	NULL	2026-09-13 23:02:57.7690	2026-09-13 23:02:57.7690	2026-09-12 23:03:31.4820
ACCOUNT	1759	ANDROID	6	2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-12 22:52:45.3660
ACCOUNT	1778	ANDROID	2	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-12 23:05:39.2010
ACCOUNT	1782	ANDROID	6	2	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2026-09-12 22:31:35.7230
section	group_execution_id	puller_group_account_id	lifecycle_status	protocol_outcome	execution_state	reason_code	n	min_attempt_no	max_attempt_no	example_reason	last_result
ATTEMPT	502	3861	3	SUCCESS	STARTED	OK	1	1	1	入群成功	2026-09-12 22:31:38.0080
ATTEMPT	502	NULL	5	NULL	NOT_STARTED	LIFECYCLE_CANCELED	200	1	1	任务或执行行已结束，未发出的拉人操作已取消	2026-09-12 22:31:39.4630
ATTEMPT	504	3876	3	SUCCESS	STARTED	OK	1	1	1	入群成功	2026-09-12 22:31:46.5190
ATTEMPT	504	NULL	5	NULL	NOT_STARTED	LIFECYCLE_CANCELED	200	1	1	任务或执行行已结束，未发出的拉人操作已取消	2026-09-12 22:31:46.9170
ATTEMPT	499	3857	3	SUCCESS	STARTED	OK	1	1	1	入群成功	2026-09-12 22:31:54.8700
ATTEMPT	499	NULL	5	NULL	NOT_STARTED	LIFECYCLE_CANCELED	200	1	1	任务或执行行已结束，未发出的拉人操作已取消	2026-09-12 22:31:56.1210
ATTEMPT	501	3867	3	SUCCESS	STARTED	OK	1	1	1	入群成功	2026-09-12 22:31:57.9250
ATTEMPT	501	NULL	5	NULL	NOT_STARTED	LIFECYCLE_CANCELED	200	1	1	任务或执行行已结束，未发出的拉人操作已取消	2026-09-12 22:32:02.4260
ATTEMPT	500	3885	3	SUCCESS	STARTED	OK	96	1	1	入群成功	2026-09-12 22:35:00.5600
ATTEMPT	500	3885	3	FAILED	STARTED	PRIVACY_BLOCKED	4	1	1	目标号码隐私设置限制入群	2026-09-12 22:34:40.7790
ATTEMPT	500	3885	4	UNKNOWN	UNCERTAIN	PROTOCOL_RESULT_UNCONFIRMED	38	1	1	结果未知，等待按配置间隔重试	2026-09-12 22:36:27.0500
ATTEMPT	500	3897	3	FAILED	STARTED	PRIVACY_BLOCKED	2	1	1	目标号码隐私设置限制入群	2026-09-12 22:37:16.8730
ATTEMPT	500	3897	4	UNKNOWN	UNCERTAIN	PROTOCOL_RESULT_UNCONFIRMED	61	1	1	结果未知，等待按配置间隔重试	2026-09-12 22:38:12.7340
ATTEMPT	510	3927	3	SUCCESS	STARTED	OK	88	1	1	入群成功	2026-09-12 22:36:36.4170
ATTEMPT	510	3927	3	FAILED	STARTED	PRIVACY_BLOCKED	6	1	1	目标号码隐私设置限制入群	2026-09-12 22:36:36.4170
ATTEMPT	510	3927	4	UNKNOWN	UNCERTAIN	PROTOCOL_RESULT_UNCONFIRMED	622	1	6	结果未知，等待按配置间隔重试	2026-09-12 22:52:45.6480
ATTEMPT	507	3906	3	SUCCESS	STARTED	OK	90	1	5	入群成功	2026-09-12 22:58:35.5440
ATTEMPT	507	3906	3	FAILED	STARTED	PRIVACY_BLOCKED	8	1	5	目标号码隐私设置限制入群	2026-09-12 22:58:35.5440
ATTEMPT	507	3906	4	UNKNOWN	UNCERTAIN	PROTOCOL_RESULT_UNCONFIRMED	318	1	8	结果未知，等待按配置间隔重试	2026-09-12 23:03:17.9130
